Accuracy,PrimeNr,Subject,TargetNr,TargetNr_wrong,Task,Time,Group
True,113.0,2557,,,Absolute,Inf,Map
True,172.0,2557,,,Absolute,Inf,Map
True,138.0,2557,,,Absolute,Inf,Map
False,60.0,2557,,,Absolute,Inf,Map
True,130.0,2557,,,Absolute,Inf,Map
True,12.0,2557,,,Absolute,Inf,Map
False,63.0,2557,,,Absolute,Inf,Map
False,167.0,3426,,,Absolute,3s,Map
True,140.0,3426,,,Absolute,3s,Map
True,132.0,3426,,,Absolute,3s,Map
True,91.0,3426,,,Absolute,3s,Map
True,55.0,3426,,,Absolute,3s,Map
True,108.0,3426,,,Absolute,3s,Map
True,134.0,3426,,,Absolute,3s,Map
True,177.0,3426,,,Absolute,3s,Map
True,168.0,3426,,,Absolute,3s,Map
True,74.0,3426,,,Absolute,3s,Map
True,128.0,3426,,,Absolute,3s,Map
False,147.0,3426,,,Absolute,3s,Map
True,53.0,3426,,,Absolute,3s,Map
False,194.0,3426,,,Absolute,3s,Map
True,136.0,3426,,,Absolute,3s,Map
True,170.0,3426,,,Absolute,3s,Map
True,178.0,3426,,,Absolute,3s,Map
False,176.0,3426,,,Absolute,3s,Map
True,121.0,3426,,,Absolute,3s,Map
False,62.0,3426,,,Absolute,3s,Map
True,118.0,3426,,,Absolute,3s,Map
True,112.0,3426,,,Absolute,3s,Map
True,154.0,3426,,,Absolute,3s,Map
True,155.0,3426,,,Absolute,3s,Map
True,57.0,3426,,,Absolute,3s,Map
True,10.0,3426,,,Absolute,3s,Map
False,196.0,3426,,,Absolute,3s,Map
False,56.0,3426,,,Absolute,3s,Map
True,58.0,3426,,,Absolute,3s,Map
True,145.0,3426,,,Absolute,3s,Map
True,34.0,3426,,,Absolute,3s,Map
True,171.0,3426,,,Absolute,3s,Map
False,17.0,3426,,,Absolute,3s,Map
True,122.0,3426,,,Absolute,3s,Map
True,139.0,3426,,,Absolute,3s,Map
False,70.0,3426,,,Absolute,3s,Map
True,60.0,3426,,,Absolute,Inf,Map
True,115.0,3426,,,Absolute,Inf,Map
True,8.0,3426,,,Absolute,Inf,Map
True,32.0,3426,,,Absolute,Inf,Map
True,133.0,3426,,,Absolute,Inf,Map
True,12.0,3426,,,Absolute,Inf,Map
True,169.0,3426,,,Absolute,Inf,Map
True,126.0,3426,,,Absolute,Inf,Map
True,123.0,3426,,,Absolute,Inf,Map
True,69.0,3426,,,Absolute,Inf,Map
True,54.0,3426,,,Absolute,Inf,Map
False,149.0,3426,,,Absolute,Inf,Map
True,148.0,3426,,,Absolute,Inf,Map
True,113.0,3426,,,Absolute,Inf,Map
True,63.0,3426,,,Absolute,Inf,Map
False,183.0,3426,,,Absolute,Inf,Map
True,172.0,3426,,,Absolute,Inf,Map
False,130.0,3426,,,Absolute,Inf,Map
True,29.0,3426,,,Absolute,Inf,Map
True,106.0,3426,,,Absolute,Inf,Map
True,181.0,3426,,,Absolute,Inf,Map
True,39.0,3426,,,Absolute,Inf,Map
False,102.0,3426,,,Absolute,Inf,Map
True,16.0,3426,,,Absolute,Inf,Map
False,103.0,3426,,,Absolute,Inf,Map
True,6.0,3426,,,Absolute,Inf,Map
True,197.0,3426,,,Absolute,Inf,Map
False,124.0,3426,,,Absolute,Inf,Map
True,162.0,3426,,,Absolute,Inf,Map
True,175.0,3426,,,Absolute,Inf,Map
