Subject,Task,Time,AngularDiff,Accuracy,Group
8195,Absolute,3s,180,0.16666666666666666,VR
8195,Absolute,3s,30,0.6666666666666666,VR
8195,Absolute,3s,60,0.6666666666666666,VR
8195,Absolute,3s,90,0.3333333333333333,VR
8195,Absolute,Inf,120,0.5,VR
8195,Absolute,Inf,150,0.16666666666666666,VR
8195,Absolute,Inf,180,0.16666666666666666,VR
8195,Absolute,Inf,30,0.8333333333333334,VR
8195,Absolute,Inf,60,0.5,VR
8195,Absolute,Inf,90,0.16666666666666666,VR
8261,Absolute,3s,120,0.8333333333333334,VR
8261,Absolute,3s,150,0.5,VR
8261,Absolute,3s,180,0.5,VR
8261,Absolute,3s,30,0.5,VR
8261,Absolute,3s,60,0.5,VR
8261,Absolute,3s,90,0.16666666666666666,VR
8261,Absolute,Inf,120,0.6666666666666666,VR
8261,Absolute,Inf,150,0.8333333333333334,VR
8261,Absolute,Inf,180,1.0,VR
8261,Absolute,Inf,30,0.6666666666666666,VR
8261,Absolute,Inf,60,0.16666666666666666,VR
8261,Absolute,Inf,90,0.8333333333333334,VR
8547,Absolute,3s,120,0.16666666666666666,VR
8547,Absolute,3s,150,0.3333333333333333,VR
8547,Absolute,3s,180,0.3333333333333333,VR
8547,Absolute,3s,30,0.5,VR
8547,Absolute,3s,60,0.5,VR
8547,Absolute,3s,90,0.6666666666666666,VR
8547,Absolute,Inf,120,0.8333333333333334,VR
8547,Absolute,Inf,150,0.5,VR
8547,Absolute,Inf,180,0.8333333333333334,VR
8547,Absolute,Inf,30,0.5,VR
8547,Absolute,Inf,60,0.3333333333333333,VR
8547,Absolute,Inf,90,0.8333333333333334,VR
8699,Absolute,3s,120,0.6666666666666666,VR
8699,Absolute,3s,150,0.5,VR
8699,Absolute,3s,180,0.5,VR
8699,Absolute,3s,30,0.5,VR
8699,Absolute,3s,60,0.5,VR
8699,Absolute,3s,90,0.5,VR
8699,Absolute,Inf,120,0.8333333333333334,VR
8699,Absolute,Inf,150,0.16666666666666666,VR
8699,Absolute,Inf,180,0.3333333333333333,VR
8699,Absolute,Inf,30,0.6666666666666666,VR
8699,Absolute,Inf,60,0.5,VR
8699,Absolute,Inf,90,0.5,VR
8936,Absolute,3s,120,0.8333333333333334,VR
8936,Absolute,3s,150,0.5,VR
8936,Absolute,3s,180,0.3333333333333333,VR
8936,Absolute,3s,30,0.5,VR
8936,Absolute,3s,60,0.5,VR
8936,Absolute,3s,90,0.5,VR
8936,Absolute,Inf,120,0.6666666666666666,VR
8936,Absolute,Inf,150,0.6666666666666666,VR
8936,Absolute,Inf,180,0.16666666666666666,VR
8936,Absolute,Inf,30,0.5,VR
8936,Absolute,Inf,60,0.5,VR
8936,Absolute,Inf,90,0.5,VR
8954,Absolute,3s,120,0.8333333333333334,VR
8954,Absolute,3s,150,0.0,VR
8954,Absolute,3s,180,0.16666666666666666,VR
8954,Absolute,3s,30,0.6666666666666666,VR
8954,Absolute,3s,60,0.5,VR
8954,Absolute,3s,90,0.5,VR
8954,Absolute,Inf,120,0.8333333333333334,VR
8954,Absolute,Inf,150,0.3333333333333333,VR
8954,Absolute,Inf,180,0.16666666666666666,VR
8954,Absolute,Inf,30,0.3333333333333333,VR
8954,Absolute,Inf,60,0.6666666666666666,VR
8954,Absolute,Inf,90,0.8333333333333334,VR
9017,Absolute,3s,120,0.5,VR
9017,Absolute,3s,150,0.5,VR
9017,Absolute,3s,180,0.5,VR
9017,Absolute,3s,30,0.3333333333333333,VR
9017,Absolute,3s,60,1.0,VR
9017,Absolute,3s,90,0.16666666666666666,VR
9017,Absolute,Inf,120,0.5,VR
9017,Absolute,Inf,150,0.6666666666666666,VR
9017,Absolute,Inf,180,0.8333333333333334,VR
9017,Absolute,Inf,30,0.5,VR
9017,Absolute,Inf,60,0.3333333333333333,VR
9017,Absolute,Inf,90,0.16666666666666666,VR
9437,Absolute,3s,120,0.8333333333333334,VR
9437,Absolute,3s,150,0.5,VR
9437,Absolute,3s,180,0.6666666666666666,VR
9437,Absolute,3s,30,0.8333333333333334,VR
9437,Absolute,3s,60,0.6666666666666666,VR
9437,Absolute,3s,90,0.6666666666666666,VR
9437,Absolute,Inf,120,0.5,VR
9437,Absolute,Inf,150,0.16666666666666666,VR
9437,Absolute,Inf,180,0.5,VR
9437,Absolute,Inf,30,0.5,VR
9437,Absolute,Inf,60,0.6666666666666666,VR
9437,Absolute,Inf,90,0.3333333333333333,VR
9475,Absolute,3s,120,0.8333333333333334,VR
9475,Absolute,3s,150,0.6666666666666666,VR
9475,Absolute,3s,180,0.5,VR
9475,Absolute,3s,30,0.6666666666666666,VR
9475,Absolute,3s,60,0.6666666666666666,VR
9475,Absolute,3s,90,0.5,VR
9475,Absolute,Inf,120,0.6666666666666666,VR
