Accuracy,PrimeNr,Subject,TargetNr,TargetNr_wrong,Task,Time,Group
False,123.0,5239,,,Absolute,Inf,VR
False,126.0,5239,,,Absolute,Inf,VR
False,137.0,5239,,,Absolute,Inf,VR
False,183.0,5239,,,Absolute,Inf,VR
True,133.0,5239,,,Absolute,Inf,VR
False,69.0,5239,,,Absolute,Inf,VR
False,102.0,5239,,,Absolute,Inf,VR
True,148.0,5239,,,Absolute,Inf,VR
False,60.0,5239,,,Absolute,Inf,VR
True,172.0,5239,,,Absolute,Inf,VR
True,162.0,5239,,,Absolute,Inf,VR
False,115.0,5239,,,Absolute,Inf,VR
True,153.0,5239,,,Absolute,Inf,VR
False,152.0,5239,,,Absolute,Inf,VR
True,106.0,5239,,,Absolute,Inf,VR
False,16.0,5239,,,Absolute,Inf,VR
False,113.0,5239,,,Absolute,Inf,VR
False,149.0,5239,,,Absolute,Inf,VR
True,175.0,5239,,,Absolute,Inf,VR
False,197.0,5239,,,Absolute,Inf,VR
False,103.0,5239,,,Absolute,Inf,VR
True,39.0,5239,,,Absolute,Inf,VR
True,8.0,5239,,,Absolute,Inf,VR
False,96.0,5239,,,Absolute,Inf,VR
True,124.0,5239,,,Absolute,Inf,VR
True,138.0,5239,,,Absolute,Inf,VR
False,12.0,5239,,,Absolute,Inf,VR
True,159.0,5239,,,Absolute,Inf,VR
True,29.0,5239,,,Absolute,Inf,VR
False,32.0,5239,,,Absolute,Inf,VR
True,6.0,5239,,,Absolute,Inf,VR
True,130.0,5239,,,Absolute,Inf,VR
True,168.0,8936,,,Absolute,3s,VR
False,108.0,8936,,,Absolute,3s,VR
True,154.0,8936,,,Absolute,3s,VR
True,136.0,8936,,,Absolute,3s,VR
False,177.0,8936,,,Absolute,3s,VR
False,122.0,8936,,,Absolute,3s,VR
False,34.0,8936,,,Absolute,3s,VR
True,145.0,8936,,,Absolute,3s,VR
False,112.0,8936,,,Absolute,3s,VR
False,132.0,8936,,,Absolute,3s,VR
True,62.0,8936,,,Absolute,3s,VR
True,55.0,8936,,,Absolute,3s,VR
True,121.0,8936,,,Absolute,3s,VR
False,118.0,8936,,,Absolute,3s,VR
True,17.0,8936,,,Absolute,3s,VR
False,176.0,8936,,,Absolute,3s,VR
True,58.0,8936,,,Absolute,3s,VR
False,134.0,8936,,,Absolute,3s,VR
False,74.0,8936,,,Absolute,3s,VR
False,167.0,8936,,,Absolute,3s,VR
False,53.0,8936,,,Absolute,3s,VR
True,155.0,8936,,,Absolute,3s,VR
False,139.0,8936,,,Absolute,3s,VR
True,57.0,8936,,,Absolute,3s,VR
True,170.0,8936,,,Absolute,3s,VR
True,147.0,8936,,,Absolute,3s,VR
True,56.0,8936,,,Absolute,3s,VR
False,128.0,8936,,,Absolute,3s,VR
True,140.0,8936,,,Absolute,3s,VR
True,10.0,8936,,,Absolute,3s,VR
True,196.0,8936,,,Absolute,3s,VR
False,171.0,8936,,,Absolute,3s,VR
True,91.0,8936,,,Absolute,3s,VR
True,178.0,8936,,,Absolute,3s,VR
False,70.0,8936,,,Absolute,3s,VR
False,194.0,8936,,,Absolute,3s,VR
False,124.0,8936,,,Absolute,Inf,VR
False,123.0,8936,,,Absolute,Inf,VR
False,102.0,8936,,,Absolute,Inf,VR
False,133.0,8936,,,Absolute,Inf,VR
True,29.0,8936,,,Absolute,Inf,VR
False,181.0,8936,,,Absolute,Inf,VR
True,106.0,8936,,,Absolute,Inf,VR
True,60.0,8936,,,Absolute,Inf,VR
False,159.0,8936,,,Absolute,Inf,VR
True,197.0,8936,,,Absolute,Inf,VR
True,115.0,8936,,,Absolute,Inf,VR
True,113.0,8936,,,Absolute,Inf,VR
False,130.0,8936,,,Absolute,Inf,VR
True,162.0,8936,,,Absolute,Inf,VR
True,6.0,8936,,,Absolute,Inf,VR
True,12.0,8936,,,Absolute,Inf,VR
False,69.0,8936,,,Absolute,Inf,VR
True,32.0,8936,,,Absolute,Inf,VR
True,8.0,8936,,,Absolute,Inf,VR
False,96.0,8936,,,Absolute,Inf,VR
True,137.0,8936,,,Absolute,Inf,VR
False,138.0,8936,,,Absolute,Inf,VR
False,126.0,8936,,,Absolute,Inf,VR
True,149.0,8936,,,Absolute,Inf,VR
True,63.0,8936,,,Absolute,Inf,VR
True,16.0,8936,,,Absolute,Inf,VR
True,175.0,8936,,,Absolute,Inf,VR
False,183.0,8936,,,Absolute,Inf,VR
False,103.0,8936,,,Absolute,Inf,VR
True,152.0,8936,,,Absolute,Inf,VR
False,54.0,8936,,,Absolute,Inf,VR
False,153.0,8936,,,Absolute,Inf,VR
True,172.0,8936,,,Absolute,Inf,VR
False,39.0,8936,,,Absolute,Inf,VR
False,148.0,8936,,,Absolute,Inf,VR
False,169.0,8936,,,Absolute,Inf,VR
True,53.0,9961,,,Absolute,3s,VR
False,178.0,9961,,,Absolute,3s,VR
True,176.0,9961,,,Absolute,3s,VR
False,62.0,9961,,,Absolute,3s,VR
True,122.0,9961,,,Absolute,3s,VR
False,194.0,9961,,,Absolute,3s,VR
True,177.0,9961,,,Absolute,3s,VR
False,34.0,9961,,,Absolute,3s,VR
True,55.0,9961,,,Absolute,3s,VR
False,140.0,9961,,,Absolute,3s,VR
False,121.0,9961,,,Absolute,3s,VR
True,57.0,9961,,,Absolute,3s,VR
True,118.0,9961,,,Absolute,3s,VR
True,168.0,9961,,,Absolute,3s,VR
True,56.0,9961,,,Absolute,3s,VR
False,108.0,9961,,,Absolute,3s,VR
False,10.0,9961,,,Absolute,3s,VR
False,91.0,9961,,,Absolute,3s,VR
True,145.0,9961,,,Absolute,3s,VR
False,154.0,9961,,,Absolute,3s,VR
False,170.0,9961,,,Absolute,3s,VR
True,147.0,9961,,,Absolute,3s,VR
False,155.0,9961,,,Absolute,3s,VR
False,74.0,9961,,,Absolute,3s,VR
False,58.0,9961,,,Absolute,3s,VR
True,134.0,9961,,,Absolute,3s,VR
False,17.0,9961,,,Absolute,3s,VR
False,112.0,9961,,,Absolute,3s,VR
True,128.0,9961,,,Absolute,3s,VR
False,196.0,9961,,,Absolute,3s,VR
True,70.0,9961,,,Absolute,3s,VR
False,167.0,9961,,,Absolute,3s,VR
False,171.0,9961,,,Absolute,3s,VR
False,132.0,9961,,,Absolute,3s,VR
False,136.0,9961,,,Absolute,3s,VR
False,139.0,9961,,,Absolute,3s,VR
True,69.0,9961,,,Absolute,Inf,VR
True,60.0,9961,,,Absolute,Inf,VR
False,159.0,9961,,,Absolute,Inf,VR
